[00000.00-00004.60] 今天我们要进入到马斯主义哲学当中的微霧论的内容的学习
[03751.82-03753.62] 就是和一钱不一样了
[03754.64-03757.96] 不一样的是变了还是每变的同学买,是变化了
[03757.96-03761.54] 黄格依旧水盲然依旧依然
[03762.58-03766.16] 仍就,像这种随意旦出现的话,同时来看一下
[03766.16-03767.76] 他強調的是變化也不變
[03767.76-03768.76] 不變
[03768.76-03770.76] 那既然是不變有變有不變
[03770.76-03772.56] 世界上的事務都是
[03772.56-03774.96] 絕對運動和相對禁止的統一
[03774.96-03777.16] 於是同學們上來就給我選了必
[03777.16-03778.96] 指定不能選必
[03778.96-03780.16] 說老師 統一呀
[03780.16-03782.36] 你光看到統一沒看到前面的字
[03782.36-03784.96] 避選像說世界上的事務應該是
[03784.96-03786.76] 絕對弄和相對禁止的統一
[03786.76-03787.56] 很多統一啊
[03787.56-03789.76] 就是審提就沒有注意
[03789.76-03790.76] 就上來就說
[03790.76-03791.56] 愛統一選了二必
[03791.56-03792.56] 然後回頭一對來
[03792.56-03793.56] 你說老師不對
[03793.56-03795.36] 審提沒有審清楚
[03795.36-03796.52] 对吧所以避选项不对
[03796.52-03797.72] 它是一个干擾像
[03797.72-03799.24] 所以就像来看一下
[03799.24-03801.64] 我们在看事务绝对弄的同时
[03801.64-03802.84] 看到了相对性质
[03802.84-03804.08] 照停开选的是
[03804.08-03804.84] 所以
[03804.84-03805.76] 任同学说老师
[03805.76-03806.64] A对吗
[03806.64-03807.56] 你看A
[03807.56-03808.96] 物质是运动的物质
[03808.96-03810.48] 运动是物质的运动
[03810.48-03811.48] 对不对
[03811.48-03812.92] A是对的
[03812.92-03814.40] 但是老师为啥不选
[03814.40-03815.08] 因为体验当中
[03815.08-03817.12] 强调的是谁有谁之间的关系
[03817.12-03820.00] 强调的是运动和精指之间的关系
[03820.00-03821.84] 而A选上说的是谁有谁
[03821.84-03824.08] 说的是物质和运动
[03824.08-03827.48] 所以同学们我在这哭哭 婆行半天
[03827.48-03832.00] 对吧主要的目的就是还是两大核心机桥
[03832.00-03835.64] 两个关系 一定要给他去闻看
[03835.64-03837.64] 人体验当中没有问物质和运动
[03837.64-03840.44] A选上说法对 但是不符合体验要求
[03840.44-03843.36] 所以第四体选择的是C
[03843.36-03844.68] D4U选C
[03844.68-03847.88] 好 那这是我们所说的第二个概念
[03847.88-03849.00] 就做运动
[03849.00-03851.08] 那接下来 还会有一个疑问
[03851.08-03852.22] 这个一文是啥呢
[03852.22-03854.36] 既然我们所说的这个
[03854.36-03857.60] 世界上的事物都是处在变化当中的
[03857.60-03859.60] 对吧 那变化者的这些事物
[03859.60-03861.20] 它存在于哪里呢
[03861.20-03862.56] 这个就是第三个点
[03862.56-03865.28] 叫物质运动的存在方式
[03865.28-03867.28] 那变化者的事物存在哪呢
[03867.28-03868.24] 存在于
[03869.28-03870.28] 石轰当中
[03870.28-03872.36] 这个点是一个一星级的
[03874.04-03876.48] 判断体或者是我们所说的选项
[03876.48-03879.84] 所以在这里说物质运动的存在方式就是时空
[03879.84-03883.68] 就是时间和空间 也就是我们所说的语舟
[03883.68-03888.80] 我们经常说叫做古往基来宇上下四方舟
[03888.80-03892.12] 那宇舟宇舟 请代表的也是时间和空间
[03892.12-03895.44] 那时间的话 我们其实经常看到 我说现在几点了
[03895.44-03898.80] 然后你所说现在几点几点钟 其实这个就是时间
[03898.80-03901.92] 空间就是你说处在了物理空间当中
[03901.92-03903.72] 我们处在自己的房子里面
[03903.72-03908.40] 我们处在整个太阳系当中 这些都处于空间范围
[03908.40-03911.98] 所以变化这个物质就是在空间当中存在
[03911.98-03913.88] 就是在宇宙当中存在了
[03913.88-03916.34] 所以这是我们所说的时间和空间
[03916.34-03917.86] 在这里面我们要知道
[03917.86-03920.96] 时间和空间它其实有自身特性
[03920.96-03922.94] 时间是单向的
[03922.94-03925.82] 我们把这个称对为叫做时间的医位性
[03925.82-03927.14] 这个时间的医位性
[03927.14-03929.66] 同时在旁边補充一下标注缺二
[03929.66-03932.72] 它是一个医生级的理解性的点
[03933.48-03935.28] 什么叫做时间的医位性
[03935.28-03938.56] 所以时间的意味性就是时间不可逆
[03938.56-03941.08] 就是时间一去永不回
[03941.68-03943.80] 时间是单向的不可逆的
[03943.80-03947.96] 我们总是梦想着想要穿越到过去回到过去回不去的
[03947.96-03950.52] 因为时间只是向前而从来不向后
[03950.52-03953.48] 所以在这里面这个就叫做时间的意味性
[03953.48-03956.04] 就像我们经常看这款转当中
[03956.04-03957.48] 按照我们唱的那首歌
[03957.48-03960.88] 就有花堪哲直驅者默奈花開空哲之啊
[03960.88-03963.88] 为啥又堪哲直驅者能摘的时候就摘
[03963.88-03966.18] 花開之后就不会再回来了
[03966.18-03969.78] 那又或者愿跑经常唱的时光一去又不回
[03969.78-03971.08] 往事只能回味
[03971.08-03973.38] 为啥能回味时间意味性
[03973.38-03974.48] 一去不复反
[03974.48-03977.08] 所以这个就叫做时间的意味性
[03977.08-03978.68] 空间有自己的特性
[03978.68-03980.78] 空间是什么 空间是三里的
[03982.08-03984.78] 因为我们所处的时空他有长寬高
[03984.78-03988.18] 你家的房子举价多高有多少利方
[03988.18-03989.46] 对吧 又多少平
[03989.46-03991.50] 你其实这个时候都能够盒量出来了
[03991.50-03993.06] 这个就叫做三位性
[03993.06-03996.02] 但是空间的三位性不是我们考察的一个重点
[03996.02-03999.14] 所以同样在这就简单了解下就可以了
[03999.14-04000.50] 那这是第二个点
[04000.50-04003.74] 那第三个点就是把时间和空间放在一块
[04004.58-04005.94] 我们在这要知道
[04005.94-04007.78] 时间和空间的特权是什么
[04007.78-04008.94] 在这里他说了
[04008.94-04013.10] 时间和空间是绝对和相对无限和有限的同一
[04013.10-04015.70] 就是时间和空间即使绝对都是相对的
[04015.70-04017.40] 即使有限的又是无限的
[04017.40-04019.10] 老师你是不是跟着废话吗
[04019.10-04021.30] 我你刚才说的这句话就是定义
[04021.30-04023.10] 同样怎么去理解这个定义呢
[04023.10-04026.70] 就是要从他们所很良的角度来看
[04026.70-04028.40] 如果就时间来看的话
[04028.40-04029.40] 我们来看一下
[04029.40-04031.70] 如果就具体事务来看
[04033.10-04035.00] 如果就具体一个事务来看的话
[04035.00-04036.40] 时间可不可值
[04036.40-04037.30] 当然可值
[04037.30-04039.40] 比如说商潮从那年到那年
[04039.40-04042.10] 一个人出生哪年出生哪年去是
[04042.10-04044.50] 它的时间程度是可以很亮的
[04044.50-04046.10] 所以从这个角度来看
[04046.10-04047.78] 时间它是怎么样
[04047.78-04049.42] 它是相对的
[04050.66-04052.54] 它是有限的
[04053.26-04054.46] 空间也是一样的
[04054.46-04055.66] 我说你家房格而平
[04055.66-04056.30] 你能红量
[04056.30-04057.46] 我说宇宙有多大
[04057.46-04058.10] 你两个
[04058.10-04058.94] 两不了
[04058.94-04061.10] 所以你看从具体的数来看
[04061.10-04063.30] 它是有相对性
[04063.30-04064.50] 有有限性的
[04064.50-04066.94] 但是从整个世界上来看
[04069.06-04071.54] 或者是整个宇宙整个空间上来看
[04071.54-04076.14] 我们所说的时间和空间又是绝对的又是无限的
[04076.14-04077.94] 我说时间从哪里开始
[04077.94-04079.54] 又将在哪里结束呢
[04079.54-04080.94] 听起来好像很浪漫
[04080.94-04082.54] 但其实不可解
[04082.54-04084.14] 那这种情况下你看
[04084.14-04085.54] 不知道时间从和而且
[04085.54-04087.74] 不知道时间在哪里终止
[04087.74-04090.14] 那这个就是绝对的无限的
[04090.14-04093.34] 所以所谓的时间和空间的绝对性相对性
[04093.34-04094.74] 无限性和有限性
[04094.74-04098.34] 就是看它好像是具体事务还是整个时间
[04098.34-04099.34] 所以这个点
[04099.34-04100.94] 一般请我这下和上面一样
[04100.94-04103.10] 它只能做一个医生级到实际型的
[04103.10-04105.74] 叛乱体或者是选项存在
[04105.98-04109.10] 上面这个也是选项或者是叛乱体存在
[04109.10-04111.26] 它很少会出现一个单独的题目
[04111.26-04112.26] 单独去考
[04112.26-04114.62] 我们所说的时间和空间的绝对有相对
[04114.62-04116.14] 热老师们考过的游哦
[04116.14-04118.14] 确实是有当时考过一个点
[04118.14-04120.30] 就天上一天地下一年
[04120.30-04122.14] 问体现了时间的什么性
[04122.14-04123.50] 天上一天地下一年
[04123.50-04126.46] 你平感觉知道他应该是要相对的一个概念
[04126.46-04127.66] 对吧就是相对性
[04127.66-04129.30] 但这么初提不是很严谨
[04129.30-04131.38] 只在山东西的那个时候考过
[04131.38-04133.54] 其他地区目前我还没有见过这个体
[04133.54-04136.66] 所以大家对于这就只做一个医生级的执点
[04136.66-04138.02] 去掌握就可以了
[04138.02-04138.78] 明白了吧
[04139.42-04142.66] 这是我们所说的时间和空间
[04142.66-04144.58] 我们接着来看一道题目
[04144.58-04146.10] 说从者觉得角度来看
[04146.10-04148.26] 说几不可失不再来体现了什么
[04148.26-04151.22] 时间不会再来时间就要医文性
[04151.22-04153.58] 所以这要提选择的是第二个
[04153.58-04158.14] 这个就是我们整个有关于物质这个概念
[04158.14-04159.42] 小同们去掌握的
[04159.42-04162.98] 我们来把整个支点做一个快速的书里和回忆的故
[04162.98-04165.06] 咱们在想到物质这个点的时候
[04165.06-04166.90] 我们先讲了物质的概念
[04166.90-04168.94] 从物质的概念当中抽象出来了
[04168.94-04171.66] 一个大体技巧和一个特性
[04171.66-04172.22] 对吧
[04172.22-04174.50] 而我们从物质当中去分析说
[04174.50-04176.94] 任何物质都是处在变化当中的
[04176.94-04181.06] 于是在运动当中抽象出来了一个打体观念词叫做变化
[04181.06-04187.58] 然后知道了 物质是属在电话当中就取分析物质和运动之间的关系
[04187.58-04193.98] 这是我们在这里需要同们掌握的第一个关系 对吧 两句话物质是运动的运动是物质的
[04193.98-04197.70] 看它强调的是什么 再去进行下一步的分析
[04197.70-04198.82] 那这是在这
[04198.82-04205.58] 那说如果事务一直属在电话当中没有办法去认知它 于是要有第二个概念就叫做金职
[04205.58-04209.30] 于是我们又去探讨了运动和金职之间的关系
[04209.30-04211.38] 所以这是第二段混乡概念
[04211.38-04212.48] 我们去分开
[04212.48-04214.48] 从运动和精指的关系出来
[04214.48-04216.14] 有了第二个达体技巧
[04216.14-04217.98] 这个第二个达体技巧就是
[04217.98-04220.38] 不变和变化的统一
[04220.38-04221.64] 所以在这里面我们说了
[04221.64-04222.74] 如果只看运动
[04222.74-04223.84] 相对主义鬼变论
[04223.84-04225.62] 如果只看镜子相对上学
[04225.62-04227.22] 所以统物质和运动
[04227.22-04230.26] 运动和镜子抽象出来了四种运动关
[04230.26-04230.62] 对吧
[04230.62-04232.66] 那这是我们强调的变化
[04232.66-04234.74] 那四入处在变化当中
[04234.74-04236.94] 那变化这的四入存在运哪里呢
[04237.66-04238.74] 存在运
[04238.74-04240.26] 十空当中
[04240.26-04242.50] 所以我们讲的时间和空间
[04242.50-04245.14] 这里面如果一定要给两星期的话
[04245.14-04245.98] 物质
[04246.50-04247.78] 大提及朝两星
[04247.78-04251.26] 物质运动两星运动已经只两星
[04251.26-04253.46] 这个是我们这一节物质的
[04253.46-04254.10] 全部那种
[04254.10-04255.90] 同论把我所讲的这些东西
[04255.90-04257.62] 充分理解回头的时候
[04257.62-04259.86] 再去按照这个思路去旅边
[04259.86-04261.14] 我感更大家保证
[04261.14-04263.46] 你的物质和运动在这个地方
[04263.46-04264.82] 已经没有什么问题了
[04264.82-04266.34] 相信我给相信你们自己
[04266.34-04266.82] 好吧
[04266.82-04269.06] 那这时今天我们要讲的这个内容了
[04269.06-04271.16] 那内容相当于是比较多
[04271.16-04273.16] 可能会有一些稍微理解上的难度
[04273.16-04274.76] 但是同一们不要有为难心理
[04274.76-04276.54] 有任何问题都可以在
[04276.54-04278.10] 平安机下面给我留言
[04278.10-04280.30] 我看到之后会计时为大家解答的
[04280.30-04281.76] 会做三连送给大家
[04281.76-04282.94] 咱们下一个支持再见
[04282.94-04283.58] 拜拜
