[00000.00-00005.00] 讲完练学之后,我们再来开一下第二个问题,就是光血
[03608.42-03610.06] 第二个我们讲了彩虹
[03610.06-03611.58] 彩虹形成位置
[03611.58-03613.86] 还有它的颜色以及它的解妹
[03613.86-03614.70] 你对吧
[03614.70-03616.10] 这是我们在彩虹当中
[03616.10-03617.98] 在折瘦当中所提到的
[03617.98-03622.06] 第3個就是光線 它在傳播的過程當中
[03622.06-03627.02] 由於這個傳播的戒指特異不居遠 比如說從大氣當中傳到地球上
[03627.02-03631.06] 由於它的戒指不居遠 有一部分的光線被散掉了
[03631.06-03634.94] 這時候只保留了部分光線 那這時候發生散射
[03634.94-03640.06] 散射就兩個應用 前天是天空是藍色的 已經所說的 定大而先向
[03640.06-03642.58] 這個就是我們所說的散射
[03642.58-03644.58] 好 那这个就是要光血的内容
