[00000.00-00002.82] 放弱犯罪是主观和客观的同意
[03420.98-03422.58] 丈夫當天晚上就死了
[03422.58-03424.06] 說前某非常後悔啊
[03424.94-03425.70] 團子手
[03425.70-03426.30] 然後問
[03426.30-03428.42] 前某的行為應當定性為什麼
[03428.70-03430.46] 首先第一個咱們說了
[03430.46-03431.98] 這要提其實就在考察什麼
[03431.98-03432.82] 就在考察
[03432.82-03434.18] 我們所說的這個
[03435.18-03436.58] 危害行為的問題
[03436.58-03437.06] 對吧
[03437.06-03437.82] 我們說了
[03437.82-03440.02] 五行为子
[03440.02-03441.30] 五反对
[03441.30-03444.02] 行为一定是要求增设了法议是吗
[03444.02-03447.78] 对法议增设了法律所不允许的危险
[03447.78-03450.86] 我们说了危害行为要求有害性
[03450.86-03454.34] 有体性有意性同时它的本质
[03454.34-03455.62] 就是在有害性这一块
[03455.62-03458.54] 就是对法议增设了法律所不允许的危险
[03458.54-03460.46] 所以它首先是一个危害行为
[03460.46-03462.30] 所以才能够成反对
[03462.30-03463.22] 那同一会来看一下
[03463.22-03464.42] 它去找大线
[03464.42-03466.26] 这个行为是一个危害行为吗
[03466.26-03469.66] 首先这个行为就不是危害行为
[03469.66-03471.26] 既然不是危害行为
[03471.26-03473.06] 那他就不符合什么
[03473.06-03476.86] 就不符合犯罪过程要件当中的客观方面
[03476.86-03480.26] 他连行为他都不是我们还怎么去分析他的什么
[03480.26-03482.86] 他的心理状态怎么再给他顶行犯罪呢
[03482.86-03484.06] 就没有关系还顶行了
[03484.06-03485.06] 所以这里面来看
[03485.06-03486.66] 他连危害行为都不是
[03486.66-03488.46] 那他这种情况之下算不算犯罪
[03488.46-03489.66] 当然不算犯罪
[03489.66-03490.86] 既然都不是犯罪
[03490.86-03493.46] 就没有必要去分析他的心理状态了
[03493.46-03494.66] 所以照替选择的是
[03494.66-03495.66] 第四个啊
[03495.66-03497.74] 这个点是我们在后面要给大家去讲的
[03497.74-03499.86] 就是什么呢 是手段不能犯
[03500.06-03501.02] 那手段不能犯
[03501.22-03503.42] 所以你的手段不是微笑行为
[03503.42-03504.82] 它没有办法造成什么
[03504.82-03507.06] 造成我们所说的这种微笑结果
[03507.06-03508.38] 所以叫手段不能犯
[03508.38-03509.98] 既然你都不是微笑行为
[03510.14-03512.50] 无行为 走 无犯罪
[03512.50-03514.42] 所以照体选择的是 死定
[03514.42-03515.38] 它不是犯罪
[03516.34-03517.86] 所以这是第六题
[03518.34-03519.86] 第七题来看一下
[03520.10-03521.46] 这个就是刚才大家说的说
[03521.46-03524.86] 假刻一起子和亲自以的感情已经破裂
[03524.86-03528.82] 假多次协商理婚就很快气责就不同意
[03528.82-03531.90] 说为了房子儿子餅回家吃饭
[03531.90-03534.90] 假特意去学校 你看假特意去了
[03534.90-03537.78] 她是不是已经预料到自己下毒的这个事情
[03537.78-03539.30] 可能会未还到孩子
[03539.30-03541.70] 所以就干净去接孩子
[03541.70-03543.30] 就不料的餅早已回家
[03543.30-03545.02] 假冲冲回到家中发现
[03545.58-03547.14] 她的亲子和儿子的独思了
[03547.14-03549.14] 那假对以持什么
[03549.66-03551.14] 她是希望她吃饭
[03551.14-03552.10] 然后死掉的
[03552.10-03554.18] 对以也得太多是什么
[03554.18-03555.98] 積極追求結果的發生
[03555.98-03557.50] 對以死亡是積極追求
[03557.50-03558.78] 對於就是為什麼
[03558.78-03559.54] 直接故意
[03559.54-03561.82] 對比他心想他而死
[03561.82-03563.14] 不希望他而死
[03563.14-03565.70] 他已經預感到他而死可能會吃
[03565.70-03569.22] 已經預料到清信能夠避免
[03569.22-03570.98] 他覺得他能夠接到他的孩子
[03570.98-03572.62] 是否採取了預防措施
[03572.62-03574.14] 那既然採取預防措施
[03574.14-03575.42] 清信能夠避免
[03575.42-03578.26] 他對於孩子的死亡就屬於什麼
[03578.26-03580.02] 就屬於過於自信的果實
[03580.02-03581.38] 所以照體應該是
[03581.38-03582.34] 對以死亡
[03582.34-03584.74] 基于追求结果的发生数一之间过一
[03584.74-03585.88] 对比了死啊
[03585.88-03588.44] 清醒能够避免已经采取了一防措施
[03588.44-03590.74] 那他就数约过于自信的过世
[03590.74-03593.34] 所以第七体选择的是第2个
[03593.34-03595.72] 所以这是我们所说的整个犯罪够成
[03595.72-03597.94] 我们就把犯罪够成从头到尾
[03597.94-03598.94] 书理一下
[03598.94-03600.54] 我们说了什么是犯罪呢
[03600.54-03601.54] 犯罪是什么
[03601.54-03603.14] 犯罪就是我们所提到的
[03603.14-03606.94] 亲害法意的行为或者叫威害法意的行为
[03606.94-03608.64] 既然是对法意有威胁
[03608.64-03609.84] 我们对犯罪就说了
[03609.84-03612.20] 他必须是形勢和實質的統一
[03612.20-03613.64] 形勢上是法律
[03613.64-03614.60] 明文規定的
[03614.60-03616.88] 這是最形法定原則的要求
[03616.88-03618.88] 法務明文規定不為罪
[03618.88-03620.72] 法務明文規定不觸發
[03620.72-03622.00] 那在實質上
[03622.00-03622.52] 我們說了
[03622.52-03624.88] 他必須有社會危害性
[03624.88-03626.24] 如果沒有社會危害
[03626.24-03626.96] 危害性的話
[03626.96-03628.96] 他其實就不具有可譴責性
[03628.96-03630.80] 就沒有觸發他的必要了
[03630.80-03631.68] 所以在這裡面
[03631.68-03633.04] 這是形勢有實質
[03633.04-03635.52] 同時他是主觀和客觀的統一
[03635.52-03636.20] 說了這裡
[03636.20-03638.08] 可能一考察一個判斷體
[03638.08-03639.72] 主觀上就要求
[03639.72-03641.92] 他對於犯罪持有相似的態度
[03641.92-03643.20] 犯罪或故意或過世
[03643.20-03645.76] 在客觀上他必須實施危害行為
[03645.76-03647.76] 用說了無形為做無犯罪
[03647.76-03649.16] 所以在這裡犯罪
[03649.80-03650.72] 我們首先知道
[03650.72-03653.60] 他是形式與實質主觀員客觀的同意
[03653.60-03654.32] 那說了
[03654.32-03656.28] 到底他能不能構成犯罪
[03656.28-03659.64] 要看他否不符合這個罪的構成要加
[03659.64-03661.00] 犯罪的構成要加
[03661.00-03662.28] 一共是四個方面
[03662.28-03664.28] 這個也叫做我們所說的
[03664.28-03666.08] 四個要加的這樣的一個
[03666.08-03667.88] 形法的一個犯罪構成
[03667.88-03670.12] 那这里面分成第一个叫做客体
[03670.12-03672.76] 这是犯罪他一定我们所说的刑法
[03672.76-03674.48] 他一定是要保护什么东西
[03674.48-03678.40] 我们把他所保护的这个魅和称之为叫做犯罪的客体
[03678.40-03680.32] 我说了犯罪的客体就是什么
[03680.32-03683.96] 就是法御所保护的社会生活利益
[03683.96-03685.44] 对吧 这个叫做法御
[03685.44-03688.00] 而法意是犯罪客体
[03688.00-03690.80] 而法意的外在表现形式就要做犯罪对象
[03690.80-03691.34] 我们说了
[03691.34-03695.00] 犯罪对象是指向的具体的人物或者是信息
[03695.00-03696.24] 比如说我抢了
[03696.24-03699.06] 大街上一个美女会一个帅哥的包
[03699.06-03702.38] 我抢他的包是一个具体的财务
[03702.38-03704.36] 所以这个包它就是对象
[03704.36-03706.60] 而这个包它带子的法意是什么
[03706.60-03711.48] 是我们所说的财务或者是财产或者是财产限力业
[03711.48-03714.08] 对吧所以在这里它是我们所说的分子的象
[03714.08-03717.50] 所以大家在这里明确就是我们所提到的
[03718.22-03720.56] 这个法意 犯罪客体
[03720.56-03722.44] 它其实和犯罪的象不是一个概念
[03722.44-03723.40] 这叫做客体
[03723.40-03724.84] 那客体我们有了
[03724.84-03726.64] 那我們又講了客觀方面
[03726.64-03727.40] 我們說了
[03727.40-03729.64] 那既然犯罪是親害法義的行為
[03729.64-03730.76] 必須要有一個親害行為
[03730.76-03732.52] 我們把這個就在客觀方面當中
[03732.52-03734.24] 成為教危害行為
[03734.24-03735.08] 危害行為呢
[03735.08-03737.64] 我們要去判斷它是不是危害行為
[03737.64-03739.04] 考理一些行為題目版
[03739.04-03741.24] 我們說了他符合三個特徵
[03741.24-03742.12] 有體性
[03742.12-03743.28] 光想不醒
[03743.28-03744.12] 有意性
[03744.12-03746.76] 你的意志能夠支配的表的
[03746.76-03749.04] 所以我們說了想夢有的這種行為
[03749.04-03750.64] 想夢有的這種事
[03750.64-03751.24] 不行
[03751.24-03753.32] 最後一個呢就叫做有害性
[03753.32-03754.72] 有害性就意味着
[03754.72-03756.76] 他要造成实之性的損害
[03756.76-03759.24] 创设法律所不允许的威胁
[03759.24-03761.84] 所以我们就排除了什么生活性为
[03761.84-03763.16] 他指定不是威胁尾
[03763.16-03765.20] 比如说我追感小偷的行为
[03765.20-03766.28] 我说我追感小偷
[03766.28-03768.16] 追感行为在一场生活当中有
[03768.16-03770.24] 他不能增设威胁
[03770.24-03770.68] 对吧
[03770.68-03771.68] 这种情况之下
[03771.68-03773.80] 他不属于威胁
[03773.80-03775.00] 所以他没有有害性
[03775.00-03776.12] 他不属于威胁尾
[03776.12-03777.48] 所以不够成犯罪
[03777.48-03779.56] 在一个降低威胁的行为
[03779.56-03781.40] 不是威胁尾
[03781.40-03783.00] 这种他也是属于
[03783.00-03785.90] 但是我們最常靠的其實生活行為大助一下
[03785.90-03787.08] 那第二個我們說了
[03787.08-03788.60] 那微還行為它有分類
[03788.60-03790.40] 一個是作為一個是不作為
[03790.40-03792.10] 我們重點靠的是不作為
[03792.10-03794.20] 我們會靠差一個不作為的犯罪
[03794.20-03796.30] 就是因為能為不為
[03796.30-03797.50] 導致結果發生
[03797.50-03797.80] 對吧
[03797.80-03800.30] 那這裡面你應當做而沒錯
[03800.30-03802.50] 你應當旅行一國而沒旅行一國
[03802.50-03803.70] 那這有時候就要不作為
[03803.70-03806.20] 那你這個能為的義務來源來做什麼呢
[03806.20-03807.90] 要不是法律民文規定的
[03807.90-03809.40] 要我們就是職務上的要求
[03809.40-03810.70] 要我們就是法律行為
[03810.70-03812.24] 要么就是先前行为
[03812.24-03813.78] 对吧 也叫做先行行为
[03813.78-03815.42] 那这些都是你的一物来源
[03815.42-03817.10] 那你的行为造成了
[03817.10-03818.64] 危害结果
[03818.64-03820.68] 那你的行为和结果之间有应过关系
[03820.68-03822.22] 那这个叫客观方面
[03822.22-03822.92] 那犯罪呢
[03822.92-03824.78] 它是主观和客观的统议
[03824.78-03826.82] 我们只讲了客观层面的犯罪
[03826.82-03828.10] 没有讲主观层面
[03828.10-03829.26] 所以我们在主观当中
[03829.26-03830.16] 刚才给大家说了
[03830.16-03832.00] 我们先要找到一个犯罪主体
[03832.00-03833.74] 包括自然人和单位
[03833.74-03835.54] 那自然人当中的年龄当中的
[03835.54-03837.58] 相对者年龄和減轻者年龄
[03837.58-03838.34] 大家注意
[03838.34-03840.40] 那第二个讲了形式责任能力
[03840.40-03843.08] 你就记得,就是病人和罪酒的人
[03843.08-03847.36] 那他怎么承担,就是病人只要清醒,只要正常,
[03847.36-03850.76] 就是病人只要在这时候,上位完全送事,
[03850.76-03852.40] 便能力都要承担责人。
[03852.40-03855.32] 而罪酒一般分为生理和病理,这是自然人,
[03855.32-03857.92] 当然还有单位,单位的话,一共就三个考虑,
[03857.92-03861.76] 但应该还记得,第一个我们说了,单位犯罪,首先第一个,
[03861.76-03864.16] 他一定体现单位意志,单位意志就是,
[03864.16-03867.84] 他要为了单位利益要娱乐军杂,第二个,
[03867.84-03874.76] 就是单位他如果翻了什么只有个人才能够成的犯罪
[03875.96-03877.76] 比如说道歉 对不对
[03877.76-03883.84] 你单位的意志决定偷格必吵死的电给咱们长省电最后省下钱给大家都发现福利
[03883.84-03886.04] 那这个时候是不是够成道歉罪
[03886.04-03888.48] 但是道歉最后主题只能是自然人
[03888.48-03890.64] 那这时候你处发单位你处发不着
[03890.64-03892.16] 那这时候你只能处发谁
[03892.16-03895.32] 你只能处发我们所说的单位的主要负责人
[03895.32-03898.16] 所以追究個人責任就可以了
[03898.16-03899.28] 那這是第二個點
[03899.28-03900.08] 第三個點就是
[03900.08-03901.80] 如果共產黨委分制的話
[03901.80-03904.12] 才去雙法制或者是單法制
[03904.12-03907.20] 雙法計法單位發自然對單位只能處罰金
[03907.20-03909.40] 如果這個時候我們認為
[03909.40-03912.16] 他在這個單位分制工程中
[03912.16-03913.12] 沒有處罰單位的話
[03913.12-03914.56] 那就只能處罰自然人
[03914.56-03917.40] 所以大家注意一下這個處罰是雙法和單法
[03917.40-03918.84] 這是分制主體
[03918.84-03921.44] 那分制主體我們還要橫量他的心理狀態
[03921.44-03922.68] 從而去判斷
[03922.68-03924.68] 他對於他的這個刑法
[03924.68-03925.92] 他来一个使用的问题
[03925.92-03928.22] 所以我们在他的心里状态当中给到了
[03928.22-03931.78] 他是故意和过时故意分为直接故意建议故意
[03931.78-03934.50] 舒糊大意的过时节故意自信的过时
[03934.50-03937.88] 同样在这里要能够在这个点上去做一个
[03937.88-03940.32] 去分 太是一个非常赵了点
[03940.32-03942.04] 这个就是我们所说的
[03942.04-03945.02] 叫做范罪够成要价
